epoch,accuracy,loss,val_accuracy,val_loss
0,0.734000027179718,0.7316359281539917,0.8887500166893005,0.30616509914398193
1,0.8450000286102295,0.39348748326301575,0.831250011920929,0.3891869783401489
2,0.8709999918937683,0.32435688376426697,0.7900000214576721,0.5558642745018005
3,0.9020000100135803,0.26980060338974,0.9075000286102295,0.26013457775115967
4,0.9200000166893005,0.2305419147014618,0.8824999928474426,0.31368470191955566
5,0.9330000281333923,0.1592613160610199,0.8862500190734863,0.3715606927871704
6,0.9449999928474426,0.15513336658477783,0.8575000166893005,0.4313846826553345
7,0.9440000057220459,0.1401549130678177,0.8999999761581421,0.36779677867889404
8,0.9589999914169312,0.11806204915046692,0.8812500238418579,0.42768433690071106
9,0.9589999914169312,0.10428664088249207,0.8987500071525574,0.35513049364089966
